date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/16/2020,ARKF,"SQUARE INC - A",SQ,852234103,614084.00,110019289.44,10.16
11/16/2020,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,839923.00,52595978.26,4.86
11/16/2020,ARKF,"MERCADOLIBRE INC",MELI,58733R102,36338.00,46741932.78,4.32
11/16/2020,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,423928.00,45377253.12,4.19
11/16/2020,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,436462.00,43519626.02,4.02
11/16/2020,ARKF,"LENDINGTREE INC","TREE UW",52603B107,132832.00,43074760.96,3.98
11/16/2020,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,559065.00,42393898.95,3.91
11/16/2020,ARKF,"SEA LTD-ADR",SE,81141R100,223505.00,39833061.10,3.68
11/16/2020,ARKF,"ADYEN NV",ADYEN,BZ1HM42,19794.00,38261174.71,3.53
11/16/2020,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,196017.00,37623502.98,3.47
11/16/2020,ARKF,"MEITUAN-CLASS B",3690,BGJW376,892015.00,36629232.70,3.38
11/16/2020,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,131735.00,34028467.85,3.14
11/16/2020,ARKF,"Z HOLDINGS CORP",4689,6084848,5045114.00,28220601.34,2.61
11/16/2020,ARKF,"AMAZON.COM INC",AMZN,023135106,8921.00,27932186.26,2.58
11/16/2020,ARKF,"TWILIO INC - A",TWLO,90138F102,92001.00,25624118.52,2.37
11/16/2020,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,90850.00,25343516.00,2.34
11/16/2020,ARKF,"APPLE INC",AAPL,037833100,210591.00,25334097.30,2.34
11/16/2020,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,4826845.00,24682500.21,2.28
11/16/2020,ARKF,"SNAP INC - A",SNAP,83304A106,589003.00,23018237.24,2.13
11/16/2020,ARKF,"DOCUSIGN INC",DOCU,256163106,104576.00,21765402.88,2.01
11/16/2020,ARKF,"SPLUNK INC",SPLK,848637104,105163.00,20349040.50,1.88
11/16/2020,ARKF,"INTUIT INC",INTU,461202103,54777.00,19558675.62,1.81
11/16/2020,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,83411.00,18764972.67,1.73
11/16/2020,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,411396.00,16385472.94,1.51
11/16/2020,ARKF,"PINDUODUO INC-ADR",PDD,722304102,113141.00,16069416.23,1.48
11/16/2020,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,155050.00,15391813.50,1.42
11/16/2020,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,133561.00,14746470.01,1.36
11/16/2020,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,298009.00,13973642.01,1.29
