date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/16/2020,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2780388.00,296834222.88,8.76
11/16/2020,ARKG,"INVITAE CORP",NVTA,46185L103,6276325.00,291221480.00,8.59
11/16/2020,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,16591434.00,258826370.40,7.63
11/16/2020,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1819565.00,189325738.25,5.58
11/16/2020,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3409200.00,172880532.00,5.10
11/16/2020,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,750577.00,132852129.00,3.92
11/16/2020,ARKG,"CAREDX INC",CDNA,14167L103,2396532.00,131905121.28,3.89
11/16/2020,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3567728.00,123300679.68,3.64
11/16/2020,ARKG,"PERSONALIS INC",PSNL,71535D106,4282877.00,118507206.59,3.50
11/16/2020,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,3186103.00,116483925.68,3.44
11/16/2020,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,935869.00,113680007.43,3.35
11/16/2020,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1856065.00,98000232.00,2.89
11/16/2020,ARKG,"CELLECTIS - ADR",CLLS,15117K103,4755064.00,95386583.84,2.81
11/16/2020,ARKG,"VERACYTE INC",VCYT,92337F107,1937963.00,91064881.37,2.69
11/16/2020,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4830028.00,88486112.96,2.61
11/16/2020,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,82770996.60,2.44
11/16/2020,ARKG,"COMPUGEN LTD",CGEN,M25722105,5745076.00,77558526.00,2.29
11/16/2020,ARKG,"INCYTE CORP",INCY,45337C102,915874.00,77253971.90,2.28
11/16/2020,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,58887881.44,1.74
11/16/2020,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1027101.00,53563317.15,1.58
11/16/2020,ARKG,"ILLUMINA INC",ILMN,452327109,176938.00,52502812.74,1.55
11/16/2020,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,227547.00,51031965.69,1.51
11/16/2020,ARKG,"ACCOLADE INC",ACCD,00437E102,1322114.00,50504754.80,1.49
11/16/2020,ARKG,"CERUS CORP",CERS,157085101,8188288.00,49539142.40,1.46
11/16/2020,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,297797.00,40277044.25,1.19
11/16/2020,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,862921.00,40298410.70,1.19
11/16/2020,ARKG,"SCHRODINGER INC",SDGR,80810D103,666561.00,39187121.19,1.16
11/16/2020,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,2132934.00,36793111.50,1.09
11/16/2020,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,389706.00,33674495.46,0.99
11/16/2020,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,669115.00,33623028.75,0.99
11/16/2020,ARKG,"GUARDANT HEALTH INC",GH,40131M109,301592.00,31468109.28,0.93
11/16/2020,ARKG,"PHREESIA INC",PHR,71944F106,735023.00,30341749.44,0.89
