date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
9/10/2020,ARKK,"TESLA INC",TSLA,88160R101,2055477.00,763280829.18,9.76
9/10/2020,ARKK,"INVITAE CORP",NVTA,46185L103,17852282.00,584662235.50,7.47
9/10/2020,ARKK,"SQUARE INC - A",SQ,852234103,3386984.00,477801832.88,6.11
9/10/2020,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,4880500.00,399224900.00,5.10
9/10/2020,ARKK,"ROKU INC",ROKU,77543R102,2417712.00,385480001.28,4.93
9/10/2020,ARKK,"PROTO LABS INC",PRLB,743713109,2246592.00,337168527.36,4.31
9/10/2020,ARKK,"2U INC",TWOU,90214J101,7757421.00,294626849.58,3.77
9/10/2020,ARKK,"ILLUMINA INC",ILMN,452327109,774215.00,267963553.65,3.42
9/10/2020,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,2924271.00,242012667.96,3.09
9/10/2020,ARKK,"LENDINGTREE INC","TREE UW",52603B107,787392.00,238815993.60,3.05
9/10/2020,ARKK,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,8281995.00,214503670.50,2.74
9/10/2020,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,6821076.00,207360710.40,2.65
9/10/2020,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,1010134.00,200147950.76,2.56
9/10/2020,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,7785546.00,197052169.26,2.52
9/10/2020,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,4494119.00,186460997.31,2.38
9/10/2020,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,12470874.00,179954711.82,2.30
9/10/2020,ARKK,"COMPUGEN LTD",CGEN,M25722105,11289470.00,168438892.40,2.15
9/10/2020,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,4707818.00,149190752.42,1.91
9/10/2020,ARKK,"PAGERDUTY INC",PD,69553P100,5870521.00,137370191.40,1.76
9/10/2020,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6882332.00,130351368.08,1.67
9/10/2020,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,1591615.00,125578423.50,1.61
9/10/2020,ARKK,"SPLUNK INC",SPLK,848637104,654881.00,126280703.23,1.61
9/10/2020,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,484143.00,119960952.54,1.53
9/10/2020,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,2885634.00,116319906.54,1.49
9/10/2020,ARKK,"VERACYTE INC",VCYT,92337F107,3734594.00,112934122.56,1.44
9/10/2020,ARKK,"CERUS CORP",CERS,157085101,18358111.00,111066571.55,1.42
9/10/2020,ARKK,"STRATASYS LTD",SSYS,M85548101,7525358.00,108590915.94,1.39
9/10/2020,ARKK,"TWILIO INC - A",TWLO,90138F102,464412.00,107358122.04,1.37
9/10/2020,ARKK,"HUYA INC-ADR",HUYA,44852D108,4005426.00,102578959.86,1.31
9/10/2020,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,3051539.00,84954845.76,1.09
9/10/2020,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,2415678.00,83799869.82,1.07
9/10/2020,ARKK,"ZSCALER INC",ZS,98980G102,597799.00,79274125.39,1.01
9/10/2020,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,797787.00,78382572.75,1.00
9/10/2020,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,1231061.00,77606085.44,0.99
9/10/2020,ARKK,"FACEBOOK INC-CLASS A",FB,30303M102,288011.00,77212868.99,0.99
9/10/2020,ARKK,"SYNOPSYS INC",SNPS,871607107,379984.00,77243147.52,0.99
9/10/2020,ARKK,"XILINX INC",XLNX,983919101,766211.00,75701646.80,0.97
